id;requester;type;reason;created_at;decided_at;status;approver;decision_note;error_message
1;hm mousse ack;CREATE_USER;archive er;2025-09-01T00:49:43;2025-09-01T00:19:42;APPLIED;close blah;cool seriously;mmm
2;toward;GRANT_ROLE;spark aged pro;2025-08-31T17:24:53;2025-09-01T08:52:51;APPLIED;youthfully;whose;feline healthily not
3;worth decision for;REVOKE_ROLE;blue fiercely;2025-08-31T16:55:07;2025-08-31T17:16:47;PENDING;digital;for;yuck
4;why onto sustenance;DELETE_USER;mooch factorize menacing;2025-08-31T14:25:39;2025-08-31T19:53:59;REJECTED;capitalise underneath;ah advanced;blah veg blah
5;qua deafening;CREATE_USER;ramp whoever stigmatize;2025-08-31T16:27:58;2025-08-31T20:26:53;APPROVED;whoever;expatiate times though;brightly via
6;endow powerfully;GRANT_ROLE;brr lowball;2025-08-31T21:55:34;2025-08-31T16:42:29;APPLIED;inside rigid;qua rigidly however;whether which oxygenate
7;duffel;CREATE_USER;uselessly;2025-08-31T17:35:00;2025-09-01T02:10:25;APPLIED;knit stunning syringe;who;zowie
8;really;GRANT_ROLE;yieldingly warmhearted why;2025-08-31T19:35:24;2025-08-31T11:32:04;PENDING;hence;plus snack after;woefully till which
9;a truthfully;CREATE_USER;since;2025-09-01T03:15:33;2025-08-31T13:55:53;APPROVED;fraudster;upward or;immediately ravel
10;shakily consequently;GRANT_ROLE;finding verbally;2025-08-31T17:02:55;2025-09-01T01:38:35;PENDING;round eek;hypothesize fortunate ride;bonfire whose rowdy
